Rank,Host,Port,TLS,Transport,Latency Avg,Speed Mbps,Status,Error
1196,104.18.26.90,2087,tls,ws,2.340555191040039,0.0,FAILED,Latency test failed
1197,141.101.115.71,443,tls,xhttp,2.3496150970458984,0.0,FAILED,Latency test failed
1198,45.130.125.194,8443,tls,xhttp,2.351522445678711,0.0,FAILED,Latency test failed
1199,45.130.125.96,443,tls,ws,2.3572444915771484,0.0,FAILED,Latency test failed
1200,162.159.9.83,443,tls,ws,2.364635467529297,0.0,FAILED,Latency test failed
1201,66.81.247.155,8443,tls,xhttp,2.371072769165039,0.0,FAILED,Latency test failed
1202,104.17.147.22,80,none,httpupgrade,2.376079559326172,0.0,FAILED,Latency test failed
1203,188.114.97.7,2083,tls,ws,2.3767948150634766,0.0,FAILED,Latency test failed
1204,45.130.125.194,8443,tls,xhttp,2.3772716522216797,0.0,FAILED,Latency test failed
1205,162.159.152.2,8880,none,httpupgrade,2.3772716522216797,0.0,FAILED,Latency test failed
1206,185.193.28.212,443,tls,ws,2.379179000854492,0.0,FAILED,Latency test failed
1207,91.193.59.145,2087,tls,ws,2.3794174194335938,0.0,FAILED,Latency test failed
1208,216.24.57.6,8443,tls,ws,2.382516860961914,0.0,FAILED,Latency test failed
1209,208.103.161.110,443,tls,ws,2.3887157440185547,0.0,FAILED,Latency test failed
1210,104.21.18.219,2082,none,ws,2.390623092651367,0.0,FAILED,Latency test failed
1211,172.66.47.69,443,tls,ws,2.396106719970703,0.0,FAILED,Latency test failed
1212,188.114.97.6,443,tls,ws,2.3987293243408203,0.0,FAILED,Latency test failed
1213,188.114.98.0,443,tls,ws,2.398967742919922,0.0,FAILED,Latency test failed
1214,108.162.193.173,443,tls,xhttp,2.401113510131836,0.0,FAILED,Latency test failed
1215,188.114.97.6,2095,none,ws,2.4023056030273438,0.0,FAILED,Latency test failed
1216,45.130.125.0,443,tls,ws,2.40325927734375,0.0,FAILED,Latency test failed
1217,104.26.6.159,2053,tls,ws,2.4051666259765625,0.0,FAILED,Latency test failed
1218,104.19.159.254,2087,tls,ws,2.4068355560302734,0.0,FAILED,Latency test failed
1219,188.95.12.110,8080,none,ws,2.408742904663086,0.0,FAILED,Latency test failed
1220,104.16.75.212,443,tls,ws,2.409696578979492,0.0,FAILED,Latency test failed
1221,172.64.159.64,80,none,ws,2.410411834716797,0.0,FAILED,Latency test failed
1222,199.232.78.159,443,tls,ws,2.410888671875,0.0,FAILED,Latency test failed
1223,45.130.125.194,8443,tls,xhttp,2.412080764770508,0.0,FAILED,Latency test failed
1224,162.159.152.2,8880,none,httpupgrade,2.415180206298828,0.0,FAILED,Latency test failed
